original_paragraph,transformed_paragraph,transformation_type,similarity_score,same_meaning
The keynote speaker assigned the regulatory submission with reliable tracking systems. The publishing house monitored a green space project through an inclusive planning process. The results improved overall performance.,The keynote speaker assigned the regulatory submission with reliable tracking systems. The publishing house monitored a green space project through an inclusive planning process. The results improved overall performance.,paragraph_pronoun_change,1.0,True
The publishing house maintained a major report using local resources. The publishing house introduced a software update with minimal disruption. Stakeholders praised the final delivery.,The publishing house maintained a major report using local resources. The publishing house introduced a system release with minimal disruption. Stakeholders praised the final delivery.,phrase_level_rewrite,0.954,True
"During the client briefing, The city council redesigned shipment routes with a strong communications plan. The clinical team emphasized the acquisition documents with minimal disruption. The final report received positive feedback.","During the client briefing, The city council redesigned shipment routes with a strong communications plan. The clinical team emphasized the acquisition documents with minimal disruption. The final report received positive feedback.",human_like_rewrite,1.0,True
"The construction crew maintained electric vehicles while meeting compliance standards. The clinical team presented a fundraiser with an expanded support network, and The nonprofit conducted a major report while meeting compliance standards. The project demonstrated clear value.","The construction crew maintained electric vehicles while meeting compliance standards. The clinical team presented a fundraiser with an expanded support network, and The nonprofit conducted a major report while meeting compliance standards. The initiative demonstrated clear value.",formal_rewrite,0.898,True
"During the regulatory audit, The professor released a major report with expert guidance. The research team redesigned a green space project using local resources. The team achieved a strong outcome.","The research team redesigned a green space project using local resources. The team achieved a strong outcome. During the regulatory audit, The professor released a major report with expert guidance.",sentence_reorder,0.551,True
"During the emergency meeting, The automotive manufacturer redesigned the power lines with sustainability goals. The training team finalized the publishing schedule with sustainability goals. The outcome exceeded expectations.","During the emergency meeting, The automotive manufacturer redesigned the power lines with sustainability goals. The training team finalized the publishing schedule with sustainability goals. The outcome exceeded expectations.",paragraph_pronoun_change,1.0,True
"During the product launch, The retail team finalized a wellness program to improve customer satisfaction. The research team conducted the acquisition documents to enhance public trust. The results improved overall performance.","During the product launch, The retail team finalized a wellness program to improve customer satisfaction. The research team conducted the acquisition documents to enhance public trust. The results improved overall performance.",phrase_level_rewrite,1.0,True
The logistics provider coordinated electric vehicles supported by cross-functional teams. The logistics provider conducted an eco-friendly housing project with measurable performance goals. The project demonstrated clear value.,The logistics provider coordinated electric vehicles supported by cross-functional teams. The logistics provider conducted an eco-friendly housing project with measurable performance goals. The project demonstrated clear value.,human_like_rewrite,1.0,True
"The The nonprofit finalized an application upgrade with an expanded support network, and The research team reviewed a white paper with measurable performance goals. This approach set a new standard.","The The nonprofit finalized an application upgrade with an expanded support network, and The research team reviewed a white paper with measurable performance objectives. This approach set a new standard.",formal_rewrite,0.968,True
"The executive chef conducted the acquisition documents with reliable tracking systems. The service crew monitored a wellness program through collaborative decision-making, and The editorial board redesigned an eco-friendly housing project to enhance public trust. The implementation received widespread acclaim.","The service crew monitored a wellness program through collaborative decision-making, and The editorial board redesigned an eco-friendly housing project to enhance public trust. The implementation received widespread acclaim. The executive chef conducted the acquisition documents with reliable tracking systems.",sentence_reorder,0.72,True
The operations staff scheduled an application upgrade while preserving the budget. The clinical team scheduled the storefront layout through an inclusive planning process. The initiative delivered measurable benefits.,The operations staff scheduled an application upgrade while preserving the budget. The clinical team scheduled the storefront layout through an inclusive planning process. The initiative delivered measurable benefits.,paragraph_pronoun_change,1.0,True
"The city council prepared an eco-friendly housing project through collaborative decision-making. The outreach team reviewed a clinical trial while preserving the budget, and The clinical team finalized the power lines to improve customer satisfaction. The final report received positive feedback.","The city council prepared an eco-friendly housing project through collaborative decision-making. The outreach team reviewed a clinical trial while preserving the budget, and The clinical team finalized the power lines to improve customer satisfaction. The final report received positive feedback.",phrase_level_rewrite,1.0,True
"The research team assigned an application upgrade after careful review. The publishing house assigned an eco-friendly housing project with expert guidance, and The hotel manager assigned the power lines under tight deadlines. The initiative delivered measurable benefits.","The research team assigned an application upgrade after careful review. The publishing house assigned an eco-friendly housing project with expert guidance, and The hotel manager assigned the power lines under tight deadlines. The initiative delivered measurable benefits.",human_like_rewrite,1.0,True
The clinical team conducted a clinical trial with an expanded support network. The automotive manufacturer tested a research study with an expanded support network. The initiative delivered measurable benefits.,The clinical team conducted a clinical trial with an expanded support network. The automotive manufacturer tested a research study with an expanded support network. The initiative delivered measurable benefits.,formal_rewrite,1.0,True
"The professor conducted a wellness program to improve operational efficiency. The health clinic emphasized the acquisition documents with minimal disruption, and The publishing house finalized a new campaign after careful review. The results improved overall performance.","The health clinic emphasized the acquisition documents with minimal disruption, and The publishing house finalized a new campaign after careful review. The results improved overall performance. The professor conducted a wellness program to improve operational efficiency.",sentence_reorder,0.284,True
The facilities team finalized a major report to improve operational efficiency. The logistics provider maintained shipment routes to improve operational efficiency. The project demonstrated clear value.,The facilities team finalized a major report to improve operational efficiency. The logistics provider maintained shipment routes to improve operational efficiency. The project demonstrated clear value.,paragraph_pronoun_change,1.0,True
"The Our marketing department prepared an eco-friendly housing project with a strong communications plan, and The development team scheduled a wellness program with an expanded support network. The implementation received widespread acclaim.","The Our promotion team prepared an eco-friendly housing project with a strong communications plan, and The engineering staff scheduled a wellness program with an expanded support network. The implementation received widespread acclaim.",phrase_level_rewrite,0.859,True
"The city council finalized electric vehicles to improve customer satisfaction. The outreach team tested an application upgrade through an inclusive planning process, and The professor optimized the publishing schedule while preserving the budget. The results improved overall performance.","The city council finalized electric vehicles to improve customer satisfaction. The outreach team tested an application upgrade through an inclusive planning process, and The professor optimized the publishing schedule while preserving the budget. The results improved overall performance.",human_like_rewrite,1.0,True
"The The publishing house optimized a research study with measurable performance goals, and The legal team conducted a research study supported by cross-functional teams. The team achieved a strong outcome.","The The publishing house optimized a research study with measurable performance objectives, and The legal team conducted a research study supported by cross-functional teams. The team achieved a strong outcome.",formal_rewrite,0.969,True
The construction crew assigned a green space project to improve operational efficiency. The keynote speaker assigned the regulatory submission using local resources. The implementation received widespread acclaim.,The keynote speaker assigned the regulatory submission using local resources. The implementation received widespread acclaim. The construction crew assigned a green space project to improve operational efficiency.,sentence_reorder,0.408,True
"During the editorial review, The bank released a wellness program with reliable tracking systems. The city council reviewed an eco-friendly housing project with strong community support. The outcome exceeded expectations.","During the editorial review, The bank released a wellness program with reliable tracking systems. The city council reviewed an eco-friendly housing project with strong community support. The outcome exceeded expectations.",paragraph_pronoun_change,1.0,True
"During the product launch, The editorial board launched a seasonal menu after careful review. The operations staff monitored a major report with reliable tracking systems. The implementation received widespread acclaim.","During the product launch, The editorial board launched a spring menu after careful review. The operations staff monitored a major report with reliable tracking systems. The implementation received widespread acclaim.",phrase_level_rewrite,0.972,True
"The hotel manager released a leadership seminar with measurable performance goals. The service crew released a software update with strong community support, and The professor assigned a white paper using data-driven analysis. Stakeholders praised the final delivery.","The hotel manager released a leadership seminar with measurable performance goals. The service crew released a software update with strong community support, and The professor assigned a white paper using data-driven analysis. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
The clinical team conducted a clinical trial with reliable tracking systems. The retail team approved a fundraiser using local resources. The final report received positive feedback.,The clinical team conducted a clinical trial with reliable tracking systems. The retail team approved a fundraiser using local resources. The final report received positive response.,formal_rewrite,0.967,True
"During the emergency meeting, The training team tested the regulatory submission under tight deadlines. The bank released the regulatory submission with an expanded support network. The team achieved a strong outcome.","The bank released the regulatory submission with an expanded support network. The team achieved a strong outcome. During the emergency meeting, The training team tested the regulatory submission under tight deadlines.",sentence_reorder,0.475,True
"The city council monitored a white paper with expert guidance. Our marketing department finalized a major report with sustainability goals, and The city council tested a software update using data-driven analysis. Stakeholders praised the final delivery.","The city council monitored a white paper with expert guidance. their marketing department finalized a major report with sustainability goals, and The city council tested a software update using data-driven analysis. Stakeholders praised the final delivery.",paragraph_pronoun_change,0.988,True
"The The city council coordinated a software update to improve operational efficiency, and The construction crew conducted a leadership seminar with sustainability goals. The implementation received widespread acclaim.","The The city council coordinated a system release to improve operational efficiency, and The construction crew conducted a leadership seminar with sustainability goals. The implementation received widespread acclaim.",phrase_level_rewrite,0.942,True
The hotel manager conducted a leadership seminar with expert guidance. The service crew launched a white paper with a strong communications plan. The team achieved a strong outcome.,The hotel manager conducted a leadership seminar with expert guidance. The service crew launched a white paper with a strong communications plan. The team achieved a strong outcome.,human_like_rewrite,1.0,True
"The nonprofit introduced a leadership seminar through an inclusive planning process. The retail team completed the acquisition documents using local resources, and The operations staff monitored a software update with an expanded support network. The project demonstrated clear value.","The nonprofit introduced a leadership seminar through an inclusive planning process. The retail team completed the acquisition documents using local resources, and The operations personnel monitored a software update with an expanded support network. The initiative demonstrated clear value.",formal_rewrite,0.877,True
"During the regulatory audit, The keynote speaker approved electric vehicles with strong community support. The keynote speaker presented a white paper using data-driven analysis. The results improved overall performance.","The keynote speaker presented a white paper using data-driven analysis. The results improved overall performance. During the regulatory audit, The keynote speaker approved electric vehicles with strong community support.",sentence_reorder,0.482,True
"During a community forum, The bank completed the acquisition documents with a strong communications plan. Our marketing department optimized a new campaign under tight deadlines. This approach set a new standard.","During a community forum, The bank completed the acquisition documents with a strong communications plan. their marketing department optimized a new campaign under tight deadlines. This approach set a new standard.",paragraph_pronoun_change,0.986,True
"Our marketing department assigned a research study with strong community support. The bank maintained an application upgrade while meeting compliance standards, and The clinical team emphasized a software update with measurable performance goals. The results improved overall performance.","Our promotion team assigned a research study with strong community support. The bank maintained an application upgrade while meeting compliance standards, and The clinical team emphasized a system release with measurable performance goals. The results improved overall performance.",phrase_level_rewrite,0.07,True
"The professor emphasized a major report through collaborative decision-making. The hotel manager finalized an application upgrade with a strong communications plan, and The research team introduced an application upgrade while preserving the budget. The results improved overall performance.","The professor emphasized a major report through collaborative decision-making. The hotel manager finalized an application upgrade with a strong communications plan, and The research team introduced an application upgrade while preserving the budget. The results improved overall performance.",human_like_rewrite,1.0,True
"The The logistics provider reviewed a white paper while preserving the budget, and The clinical team launched a green space project with reliable tracking systems. The final report received positive feedback.","The The logistics provider reviewed a white paper while preserving the budget, and The clinical team launched a green space initiative with reliable tracking systems. The final report received positive response.",formal_rewrite,0.921,True
"During the annual review, The city council scheduled a new campaign with measurable performance goals. The automotive manufacturer scheduled an eco-friendly housing project under tight deadlines. Stakeholders praised the final delivery.","The automotive manufacturer scheduled an eco-friendly housing project under tight deadlines. Stakeholders praised the final delivery. During the annual review, The city council scheduled a new campaign with measurable performance goals.",sentence_reorder,0.432,True
"During the policy rollout, The training team introduced an application upgrade using local resources. The facilities team optimized a green space project with strong community support. The final report received positive feedback.","During the policy rollout, The training team introduced an application upgrade using local resources. The facilities team optimized a green space project with strong community support. The final report received positive feedback.",paragraph_pronoun_change,1.0,True
"The The city council prepared the power lines to improve customer satisfaction, and The outreach team prepared a seasonal menu with measurable performance goals. The project demonstrated clear value.","The The city council prepared the power lines to improve customer satisfaction, and The outreach team prepared a spring menu with measurable performance goals. The project demonstrated clear value.",phrase_level_rewrite,0.975,True
"The hotel manager coordinated a new campaign with minimal disruption. The facilities team presented the publishing schedule through an inclusive planning process, and The nonprofit optimized a green space project with reliable tracking systems. The initiative delivered measurable benefits.","The hotel manager coordinated a new campaign with minimal disruption. The facilities team presented the publishing schedule through an inclusive planning process, and The nonprofit optimized a green space project with reliable tracking systems. The initiative delivered measurable benefits.",human_like_rewrite,1.0,True
"The The retail team presented a new campaign to improve operational efficiency, and The service crew redesigned a green space project after careful review. The team achieved a strong outcome.","The The retail team presented a new campaign to improve operational efficiency, and The service crew redesigned a green space initiative after careful review. The team achieved a strong outcome.",formal_rewrite,0.961,True
"During the product launch, The publishing house introduced a green space project through collaborative decision-making. A university research group approved a green space project supported by cross-functional teams. The results improved overall performance.","A university research group approved a green space project supported by cross-functional teams. The results improved overall performance. During the product launch, The publishing house introduced a green space project through collaborative decision-making.",sentence_reorder,0.533,True
The clinical team organized a fundraiser to enhance public trust. The nonprofit introduced a seasonal menu with minimal disruption. The implementation received widespread acclaim.,The clinical team organized a fundraiser to enhance public trust. The nonprofit introduced a seasonal menu with minimal disruption. The implementation received widespread acclaim.,paragraph_pronoun_change,1.0,True
"The legal team approved a wellness program to improve operational efficiency. A university research group finalized a seasonal menu through collaborative decision-making, and The professor reviewed a leadership seminar through an inclusive planning process. The results improved overall performance.","The legal team approved a wellness program to improve operational efficiency. A university research group finalized a spring menu through collaborative decision-making, and The professor reviewed a leadership seminar through an inclusive planning process. The results improved overall performance.",phrase_level_rewrite,0.98,True
"During the board meeting, The logistics provider released a green space project with an expanded support network. The publishing house scheduled the storefront layout with strong community support. Stakeholders praised the final delivery.","During the board meeting, The logistics provider released a green space project with an expanded support network. The publishing house scheduled the storefront layout with strong community support. Stakeholders praised the final delivery.",human_like_rewrite,1.0,True
The keynote speaker introduced an application upgrade through an inclusive planning process. The construction crew finalized a software update to improve customer satisfaction. Stakeholders praised the final delivery.,The keynote speaker introduced an application upgrade through an inclusive planning process. The construction crew finalized a software update to improve customer satisfaction. Stakeholders praised the final delivery.,formal_rewrite,1.0,True
"During the product launch, The logistics provider reviewed a research study supported by cross-functional teams. The keynote speaker monitored a software update with a strong communications plan. The effort strengthened long-term relationships.","The keynote speaker monitored a software update with a strong communications plan. The effort strengthened long-term relationships. During the product launch, The logistics provider reviewed a research study supported by cross-functional teams.",sentence_reorder,0.459,True
"During the annual review, The retail team optimized a fundraiser after careful review. The construction crew tested the acquisition documents with expert guidance. The team achieved a strong outcome.","During the annual review, The retail team optimized a fundraiser after careful review. The construction crew tested the acquisition documents with expert guidance. The team achieved a strong outcome.",paragraph_pronoun_change,1.0,True
The service crew tested a clinical trial using data-driven analysis. The city council prepared shipment routes under tight deadlines. The project demonstrated clear value.,The maintenance team tested a clinical trial using data-driven analysis. The city council prepared shipment routes under tight deadlines. The project demonstrated clear value.,phrase_level_rewrite,0.948,True
The service crew released a white paper using local resources. The development team launched the power lines with a strong communications plan. Stakeholders praised the final delivery.,The service crew released a white paper using local resources. The development team launched the power lines with a strong communications plan. Stakeholders praised the final delivery.,human_like_rewrite,1.0,True
The retail team reviewed a wellness program through collaborative decision-making. The hotel manager introduced a new campaign supported by cross-functional teams. The results improved overall performance.,The retail team reviewed a wellness program through collaborative decision-making. The hotel manager introduced a new campaign supported by cross-functional teams. The outcomes improved overall performance.,formal_rewrite,0.968,True
"The facilities team monitored electric vehicles to enhance public trust. The professor conducted a research study with a strong communications plan, and The outreach team maintained the publishing schedule to improve operational efficiency. The outcome exceeded expectations.","The professor conducted a research study with a strong communications plan, and The outreach team maintained the publishing schedule to improve operational efficiency. The outcome exceeded expectations. The facilities team monitored electric vehicles to enhance public trust.",sentence_reorder,0.735,True
The nonprofit presented a clinical trial through collaborative decision-making. The health clinic scheduled the regulatory submission through an inclusive planning process. Stakeholders praised the final delivery.,The nonprofit presented a clinical trial through collaborative decision-making. The health clinic scheduled the regulatory submission through an inclusive planning process. Stakeholders praised the final delivery.,paragraph_pronoun_change,1.0,True
"During the emergency meeting, The keynote speaker introduced a fundraiser with sustainability goals. The operations staff organized a software update while meeting compliance standards. The effort strengthened long-term relationships.","During the emergency meeting, The main presenter introduced a benefit event with sustainability goals. The operations staff organized a system release while meeting compliance standards. The effort strengthened long-term relationships.",phrase_level_rewrite,0.196,True
"The construction crew presented shipment routes with reliable tracking systems. The hotel manager coordinated an eco-friendly housing project to improve operational efficiency, and The clinical team optimized the power lines with sustainability goals. The results improved overall performance.","The construction crew presented shipment routes with reliable tracking systems. The hotel manager coordinated an eco-friendly housing project to improve operational efficiency, and The clinical team optimized the power lines with sustainability goals. The results improved overall performance.",human_like_rewrite,1.0,True
"The The professor redesigned an eco-friendly housing project with a strong communications plan, and The clinical team optimized a new campaign to improve operational efficiency. The effort strengthened long-term relationships.","The The professor redesigned an eco-friendly housing initiative with a strong communications plan, and The clinical team optimized a new campaign to improve operational efficiency. The effort strengthened long-term relationships.",formal_rewrite,0.963,True
"During the annual review, The professor optimized the regulatory submission to improve operational efficiency. The nonprofit finalized the storefront layout using data-driven analysis. Stakeholders praised the final delivery.","The nonprofit finalized the storefront layout using data-driven analysis. Stakeholders praised the final delivery. During the annual review, The professor optimized the regulatory submission to improve operational efficiency.",sentence_reorder,0.489,True
"The training team prepared a new campaign supported by cross-functional teams. The clinical team launched the power lines to improve customer satisfaction, and The research team completed a new campaign with strong community support. The team achieved a strong outcome.","The training team prepared a new campaign supported by cross-functional teams. The clinical team launched the power lines to improve customer satisfaction, and The research team completed a new campaign with strong community support. The team achieved a strong outcome.",paragraph_pronoun_change,1.0,True
"During the emergency meeting, The clinical team organized a major report with reliable tracking systems. The city council reviewed electric vehicles to improve operational efficiency. Stakeholders praised the final delivery.","During the emergency meeting, The clinical team organized a major report with reliable tracking systems. The city council reviewed electric vehicles to improve operational efficiency. Stakeholders praised the final delivery.",phrase_level_rewrite,1.0,True
"The The retail team coordinated a clinical trial using local resources, and The editorial board prepared a seasonal menu through collaborative decision-making. The effort strengthened long-term relationships.","The The retail team coordinated a clinical trial using local resources, and The editorial board prepared a seasonal menu through collaborative decision-making. The effort strengthened long-term relationships.",human_like_rewrite,1.0,True
"The logistics provider presented electric vehicles through an inclusive planning process. The outreach team launched the acquisition documents with reliable tracking systems, and The executive chef presented a new campaign to enhance public trust. The initiative delivered measurable benefits.","The logistics provider presented electric vehicles through an inclusive planning process. The outreach team launched the acquisition documents with reliable tracking systems, and The executive chef presented a new campaign to enhance public trust. The initiative delivered measurable benefits.",formal_rewrite,1.0,True
The operations staff launched a software update with expert guidance. The clinical team conducted a white paper with expert guidance. The outcome exceeded expectations.,The clinical team conducted a white paper with expert guidance. The outcome exceeded expectations. The operations staff launched a software update with expert guidance.,sentence_reorder,0.583,True
"The service crew presented a seasonal menu after careful review. The health clinic tested a wellness program while preserving the budget, and Our marketing department reviewed an application upgrade using data-driven analysis. The implementation received widespread acclaim.","The service crew presented a seasonal menu after careful review. The health clinic tested a wellness program while preserving the budget, and their marketing department reviewed an application upgrade using data-driven analysis. The implementation received widespread acclaim.",paragraph_pronoun_change,0.989,True
"During the board meeting, The professor coordinated a seasonal menu with reliable tracking systems. The facilities team optimized a new campaign with expert guidance. The implementation received widespread acclaim.","During the board meeting, The professor coordinated a spring menu with reliable tracking systems. The facilities team optimized a new campaign with expert guidance. The implementation received widespread acclaim.",phrase_level_rewrite,0.972,True
"The The hotel manager scheduled a software update while meeting compliance standards, and The hotel manager assigned electric vehicles after careful review. The initiative delivered measurable benefits.","The The hotel manager scheduled a software update while meeting compliance standards, and The hotel manager assigned electric vehicles after careful review. The initiative delivered measurable benefits.",human_like_rewrite,1.0,True
"The editorial board launched a wellness program with sustainability goals. The publishing house tested a white paper with expert guidance, and The construction crew redesigned a major report using data-driven analysis. The effort strengthened long-term relationships.","The editorial board launched a wellness program with sustainability objectives. The publishing house tested a white paper with expert guidance, and The construction crew redesigned a major report using data-driven analysis. The effort strengthened long-term relationships.",formal_rewrite,0.976,True
The nonprofit coordinated the storefront layout through an inclusive planning process. The nonprofit redesigned a fundraiser supported by cross-functional teams. The implementation received widespread acclaim.,The nonprofit redesigned a fundraiser supported by cross-functional teams. The implementation received widespread acclaim. The nonprofit coordinated the storefront layout through an inclusive planning process.,sentence_reorder,0.584,True
"The The training team optimized a research study with sustainability goals, and The editorial board introduced the publishing schedule with strong community support. The effort strengthened long-term relationships.","The The training team optimized a research study with sustainability goals, and The editorial board introduced the publishing schedule with strong community support. The effort strengthened long-term relationships.",paragraph_pronoun_change,1.0,True
"The training team approved an eco-friendly housing project using data-driven analysis. The automotive manufacturer finalized a clinical trial with expert guidance, and A university research group released a green space project using local resources. The implementation received widespread acclaim.","The training team approved an eco-friendly housing project using data-driven analysis. The automotive manufacturer finalized a clinical trial with expert guidance, and A university research group released a community park initiative using local resources. The implementation received widespread acclaim.",phrase_level_rewrite,0.927,True
A university research group coordinated a white paper with expert guidance. The publishing house emphasized a wellness program using local resources. The team achieved a strong outcome.,A university research group coordinated a white paper with expert guidance. The publishing house emphasized a wellness program using local resources. The team achieved a strong outcome.,human_like_rewrite,1.0,True
"Our marketing department presented the regulatory submission with minimal disruption. The clinical team launched a clinical trial through collaborative decision-making, and The outreach team monitored a seasonal menu to enhance public trust. The project demonstrated clear value.","Our marketing department presented the regulatory submission with minimal disruption. The clinical team launched a clinical trial through collaborative decision-making, and The outreach team monitored a seasonal menu to enhance public trust. The initiative demonstrated clear value.",formal_rewrite,0.898,True
The logistics provider prepared a major report while meeting compliance standards. The outreach team coordinated the storefront layout with expert guidance. The final report received positive feedback.,The outreach team coordinated the storefront layout with expert guidance. The final report received positive feedback. The logistics provider prepared a major report while meeting compliance standards.,sentence_reorder,0.587,True
The development team reviewed a clinical trial with strong community support. The legal team conducted the power lines with minimal disruption. This approach set a new standard.,The development team reviewed a clinical trial with strong community support. The legal team conducted the power lines with minimal disruption. This approach set a new standard.,paragraph_pronoun_change,1.0,True
"The The keynote speaker emphasized a wellness program using local resources, and The hotel manager assigned an eco-friendly housing project with reliable tracking systems. The project demonstrated clear value.","The The main presenter emphasized a wellness program using local resources, and The property manager assigned an eco-friendly housing project with reliable tracking systems. The project demonstrated clear value.",phrase_level_rewrite,0.61,True
"The The service crew scheduled shipment routes through collaborative decision-making, and The keynote speaker reviewed the regulatory submission while preserving the budget. The project demonstrated clear value.","The The service crew scheduled shipment routes through collaborative decision-making, and The keynote speaker reviewed the regulatory submission while preserving the budget. The project demonstrated clear value.",human_like_rewrite,1.0,True
"During a community forum, The development team reviewed the power lines with sustainability goals. The outreach team presented a wellness program with sustainability goals. The final report received positive feedback.","During a community forum, The development team reviewed the power lines with sustainability objectives. The outreach team presented a wellness program with sustainability objectives. The final report received positive response.",formal_rewrite,0.455,True
"During the board meeting, The professor tested a research study with expert guidance. The operations staff maintained a research study under tight deadlines. The implementation received widespread acclaim.","The operations staff maintained a research study under tight deadlines. The implementation received widespread acclaim. During the board meeting, The professor tested a research study with expert guidance.",sentence_reorder,0.58,True
"Our marketing department released a fundraiser to improve customer satisfaction. The automotive manufacturer maintained a software update using local resources, and The legal team redesigned a green space project with strong community support. The project demonstrated clear value.","their marketing department released a fundraiser to improve customer satisfaction. The automotive manufacturer maintained a software update using local resources, and The legal team redesigned a green space project with strong community support. The project demonstrated clear value.",paragraph_pronoun_change,0.989,True
"The executive chef redesigned the storefront layout with reliable tracking systems. The facilities team organized a leadership seminar with a strong communications plan, and The retail team organized a leadership seminar with an expanded support network. The project demonstrated clear value.","The head chef redesigned the storefront layout with reliable tracking systems. The facilities team organized a leadership seminar with a strong communications plan, and The retail team organized a leadership seminar with an expanded support network. The project demonstrated clear value.",phrase_level_rewrite,0.978,True
The retail team maintained a clinical trial to enhance public trust. The automotive manufacturer optimized a leadership seminar with a strong communications plan. The final report received positive feedback.,The retail team maintained a clinical trial to enhance public trust. The automotive manufacturer optimized a leadership seminar with a strong communications plan. The final report received positive feedback.,human_like_rewrite,1.0,True
The legal team finalized a white paper using data-driven analysis. The logistics provider prepared a clinical trial after careful review. The implementation received widespread acclaim.,The legal team finalized a white paper using data-driven analysis. The logistics provider prepared a clinical trial after careful review. The implementation received widespread acclaim.,formal_rewrite,1.0,True
The city council reviewed a seasonal menu using local resources. The outreach team redesigned a major report after careful review. The initiative delivered measurable benefits.,The outreach team redesigned a major report after careful review. The initiative delivered measurable benefits. The city council reviewed a seasonal menu using local resources.,sentence_reorder,0.631,True
"The The construction crew optimized an application upgrade with a strong communications plan, and Our marketing department monitored a major report through collaborative decision-making. This approach set a new standard.","The The construction crew optimized an application upgrade with a strong communications plan, and their marketing department monitored a major report through collaborative decision-making. This approach set a new standard.",paragraph_pronoun_change,0.986,True
"During the board meeting, The legal team launched a green space project through collaborative decision-making. The professor optimized the publishing schedule with a strong communications plan. The outcome exceeded expectations.","During the board meeting, The legal team launched a community park initiative through collaborative decision-making. The professor optimized the publishing schedule with a strong communications plan. The outcome exceeded expectations.",phrase_level_rewrite,0.905,True
"The The training team assigned a software update using data-driven analysis, and The training team introduced a new campaign with minimal disruption. The final report received positive feedback.","The The training team assigned a software update using data-driven analysis, and The training team introduced a new campaign with minimal disruption. The final report received positive feedback.",human_like_rewrite,1.0,True
The development team coordinated a research study with measurable performance goals. The bank completed a software update to enhance public trust. The implementation received widespread acclaim.,The development team coordinated a research study with measurable performance objectives. The bank completed a software update to enhance public trust. The implementation received widespread acclaim.,formal_rewrite,0.972,True
"During the regulatory audit, The executive chef assigned the acquisition documents using local resources. The keynote speaker launched the acquisition documents with reliable tracking systems. This approach set a new standard.","The keynote speaker launched the acquisition documents with reliable tracking systems. This approach set a new standard. During the regulatory audit, The executive chef assigned the acquisition documents using local resources.",sentence_reorder,0.531,True
"During the product launch, The facilities team organized an application upgrade supported by cross-functional teams. The clinical team reviewed a new campaign through collaborative decision-making. The implementation received widespread acclaim.","During the product launch, The facilities team organized an application upgrade supported by cross-functional teams. The clinical team reviewed a new campaign through collaborative decision-making. The implementation received widespread acclaim.",paragraph_pronoun_change,1.0,True
"During the software deployment, The development team monitored shipment routes through an inclusive planning process. The outreach team scheduled an application upgrade through collaborative decision-making. Stakeholders praised the final delivery.","During the software deployment, The engineering staff monitored shipment routes through an inclusive planning process. The outreach team scheduled an application upgrade through collaborative decision-making. Stakeholders praised the final delivery.",phrase_level_rewrite,0.934,True
"The The keynote speaker finalized the storefront layout to improve customer satisfaction, and The automotive manufacturer tested a green space project with strong community support. The implementation received widespread acclaim.","The The keynote speaker finalized the storefront layout to improve customer satisfaction, and The automotive manufacturer tested a green space project with strong community support. The implementation received widespread acclaim.",human_like_rewrite,1.0,True
"The keynote speaker coordinated a green space project to improve operational efficiency. The construction crew finalized a leadership seminar after careful review, and The hotel manager maintained a major report using local resources. The results improved overall performance.","The keynote speaker coordinated a green space initiative to improve operational efficiency. The construction crew finalized a leadership seminar after careful review, and The hotel manager maintained a major report using local resources. The outcomes improved overall performance.",formal_rewrite,0.946,True
"The The bank redesigned a clinical trial with sustainability goals, and The hotel manager tested a major report with expert guidance. The project demonstrated clear value.","The project demonstrated clear value. The The bank redesigned a clinical trial with sustainability goals, and The hotel manager tested a major report with expert guidance.",sentence_reorder,0.778,True
"The The publishing house monitored a research study while preserving the budget, and The bank organized a clinical trial with measurable performance goals. The effort strengthened long-term relationships.","The The publishing house monitored a research study while preserving the budget, and The bank organized a clinical trial with measurable performance goals. The effort strengthened long-term relationships.",paragraph_pronoun_change,1.0,True
"During the software deployment, The retail team prepared electric vehicles while preserving the budget. The city council released the acquisition documents through collaborative decision-making. The project demonstrated clear value.","During the software deployment, The retail team prepared electric vehicles while preserving the budget. The city council released the acquisition documents through collaborative decision-making. The project demonstrated clear value.",phrase_level_rewrite,1.0,True
